st_code_snd,st_code_rsv,date_depart_year,date_depart_month,date_depart_week,date_depart_day,date_depart_hour,fr_id,route_type,is_load,rod,common_ch,vidsobst,distance,snd_org_id,rsv_org_id,snd_roadid,rsv_roadid,snd_dp_id,rsv_dp_id,y
wagonwagonwagontutu:)wagon,wagondigitalnewyearrailway:)happy,2021,11,45,12,14,3399.0,4.0,1,2,11.0,102.0,930.0,1098,5476,13,13,78,75,185.2
railwaypgkhappyrailway:)railway,digitalhappynewyeardigital:)wagon,2021,4,15,17,16,2261.0,3.0,0,8,9.0,111.0,16.0,2974,6682,21,21,111,111,0.25
railwaytutupgkpgk:)digital,pgkdigitalrailway:):)happy,2021,5,17,2,7,1089.0,3.0,1,8,9.0,111.0,879.0,2082,10729,9,9,67,23,109.13333333333334
tuturailwaydigital2022:)digital,newyearnewyear20222022:)2022,2020,11,47,17,11,2261.0,4.0,0,8,975.0,103.0,8569.0,2974,10571,28,28,115,112,214.09305555555557
railwaytutupgkpgk:)digital,pgkhappyrailwayhack:)railway,2020,12,52,25,5,1666.0,4.0,1,8,9.0,101.0,656.0,2082,9225,9,9,67,16,104.1
hacknewyearrailway:)pgk,hackwagonhappy:)newyear,2021,5,21,28,11,2261.0,1.0,0,8,9.0,102.0,1021.0,6276,1316,23,23,10,67,49.15
happynewyearpgk:)railway,hackwagon:):)tutu,2022,1,2,14,11,2261.0,1.0,0,8,12.0,111.0,4480.0,2974,2324,6,6,59,111,129.4
tutuwagon2022hack:)pgk,newyearwagondigitalnewyear:)tutu,2021,11,44,5,22,2261.0,1.0,0,8,9.0,102.0,209.0,2974,1319,9,9,67,67,13.766666666666667
railwaytutupgkhappy:)newyear,digitalhappynewyeardigital:)wagon,2020,5,20,13,0,2261.0,4.0,0,2,11.0,101.0,1680.0,2974,2142,27,27,126,125,118.23333333333333
newyearrailwaypgknewyear:)hack,2022wagondigital:)digital,2020,10,43,19,11,714.0,3.0,1,8,975.0,103.0,3832.0,2942,14325,21,21,121,1,212.66666666666666
happy:)pgkrailway:)2022,wagonhackhacktutu:)happy,2021,6,24,16,10,1653.0,4.0,1,8,9.0,102.0,1676.0,1290,10890,32,32,29,70,114.83333333333333
digitalhappynewyeardigital:)wagon,railwaytutupgkhappy:)newyear,2022,3,12,24,23,618.0,1.0,1,8,12.0,111.0,276.0,1316,2082,9,9,67,67,5.85
railwaytutuwagonhappy:)tutu,20222022tutupgk:)hack,2021,3,12,28,7,100009.0,3.0,1,8,9.0,101.0,2827.0,11002,7548,9,9,66,104,262.6461111111111
tutudigital2022:):)railway,newyearnewyeartutu:):)2022,2020,9,36,2,14,2261.0,3.0,0,8,9.0,103.0,51.0,2974,2324,21,21,111,111,2.183333333333333
pgkwagonrailwayrailway:)railway,pgkwagonhackpgk:)happy,2022,2,8,23,12,2261.0,4.0,0,8,9.0,102.0,76.0,2974,10910,30,30,22,22,2.2666666666666666
wagonpgkhappy:):)newyear,wagonhackhappywagon:)newyear,2021,10,40,10,16,2261.0,1.0,0,5,,102.0,276.0,2974,1316,9,9,67,67,6.283333333333333
tutunewyearwagonhack:)happy,newyearwagondigitaltutu:)pgk,2022,2,5,4,4,2261.0,4.0,0,9,2.0,111.0,2641.0,2974,3176,0,0,4,75,669.7166666666667
railwaytutupgkdigital:)hack,railwaytutupgkpgk:)digital,2022,2,7,14,7,1481.0,3.0,1,9,2.0,102.0,15.0,1426,2082,9,9,67,67,27.816666666666666
tutunewyearrailway2022:)pgk,newyearwagonpgkdigital:)tutu,2021,5,19,11,16,2261.0,3.0,0,8,975.0,111.0,3626.0,2974,5314,32,32,29,111,203.21666666666667
hacktutuhappyhappy:)2022,pgkhackpgkrailway:)newyear,2020,12,50,10,5,2261.0,3.0,0,8,9.0,103.0,270.0,2974,3813,30,30,16,19,39.083333333333336
2022wagonhackwagon:)pgk,2022wagonpgkdigital:)newyear,2020,11,45,2,4,792.0,3.0,1,10,18.0,103.0,123.0,1260,1866,18,18,101,101,27.983333333333334
hackhappy:)wagon:)tutu,hackdigital:)digital:)happy,2021,9,39,30,23,2261.0,1.0,0,8,9.0,102.0,304.0,2974,1316,9,9,67,67,9.916666666666666
newyeardigitalhappypgk:):),newyearwagonpgkhack:)newyear,2021,4,13,4,15,2261.0,3.0,0,2,26.0,,1091.0,2974,1416,32,32,30,123,144.78333333333333
wagondigitalrailwaynewyear:)wagon,wagonpgkrailwayhack:)2022,2021,3,12,28,9,1612.0,4.0,1,8,9.0,103.0,409.0,9820,9067,11,11,75,71,72.35
wagonhackhappyhappy:)2022,wagonpgkrailwayhack:)2022,2021,11,45,10,21,2261.0,3.0,0,8,9.0,102.0,40.0,2974,6682,21,21,111,111,0.6666666666666666
newyearwagondigitaltutu:)pgk,tutunewyearrailway2022:)pgk,2021,10,42,22,13,717.0,1.0,1,8,9.0,102.0,5900.0,11480,1663,21,21,111,117,269.23333333333335
pgk2022newyear:)pgk,pgknewyearhack:):),2021,9,38,26,9,620.0,3.0,1,8,12.0,102.0,393.0,2135,11453,0,0,3,3,31.666666666666668
newyearwagonpgkhack:)newyear,hacknewyearrailway:)pgk,2020,5,22,29,22,725.0,1.0,1,8,9.0,101.0,4820.0,6682,1658,21,21,111,4,653.0666666666667
happy:)pgkwagon:):),20222022happy:):)newyear,2021,3,9,2,15,2261.0,3.0,0,8,975.0,101.0,1583.0,2974,1321,32,32,29,104,180.38333333333333
happy:)pgkwagon:):),pgknewyeartutudigital:)wagon,2020,7,27,2,14,2261.0,3.0,0,8,9.0,103.0,1886.0,2974,3107,32,32,29,31,134.83333333333334
happyrailwaytutu:)pgk,newyearwagonhappypgk:)digital,2020,12,51,20,2,2261.0,3.0,0,8,975.0,103.0,4060.0,2974,4933,0,0,1,111,171.41666666666666
tutunewyear2022pgk:)2022,pgkpgk:)railway:)digital,2020,6,25,16,7,2261.0,4.0,0,2,10.0,103.0,9237.0,2974,8891,29,29,117,17,350.68333333333334
2022tutu2022happy:)happy,2022newyeardigitalrailway:):),2020,6,24,12,0,2261.0,4.0,0,8,12.0,103.0,945.0,2974,15333,18,18,105,102,55.61666666666667
newyearwagondigital2022:)railway,newyearwagondigitalwagon:)hack,2020,12,52,24,3,728.0,3.0,1,8,9.0,101.0,10.0,4019,4019,21,21,111,111,0.4166666666666667
pgktutu:):):)tutu,tutudigitalhappy:)tutu,2020,12,52,25,14,368.0,4.0,1,2,11.0,101.0,1894.0,2150,1098,32,32,30,7,284.71666666666664
railwaypgkrailwayrailway:):),digitalhappynewyeardigital:)wagon,2022,3,11,14,14,2261.0,1.0,0,8,9.0,102.0,204.0,2974,2648,21,21,110,111,15.34388888888889
railwaytutupgkhack:):),railwaytutupgkdigital:)hack,2022,4,15,12,10,2261.0,4.0,0,2,11.0,102.0,1102.0,1098,16305,13,13,84,106,91.7
railwaytutupgkhack:):),railwaytutupgkdigital:)hack,2021,6,26,28,22,100056.0,4.0,0,2,11.0,102.0,136.0,2974,9307,28,28,115,115,39.2
happy:)pgkrailway:)2022,pgknewyeartutudigital:)wagon,2022,3,11,19,13,2261.0,3.0,0,8,9.0,111.0,5.0,2974,1356,32,32,29,29,0.49944444444444447
newyearwagon:):):)tutu,newyearwagonhappy:):)2022,2022,4,16,23,16,2261.0,1.0,0,5,,,276.0,2974,1316,9,9,67,67,6.05
tutuhackhappydigital:)happy,tutupgkdigitalrailway:)hack,2022,3,12,25,18,2261.0,4.0,0,2,26.0,102.0,317.0,2974,1416,32,32,31,123,43.46666666666667
tutunewyearpgkpgk:)wagon,newyearrailwayhackpgk:)2022,2021,10,41,15,17,2524.0,4.0,1,2,10.0,102.0,5936.0,12450,14848,29,29,117,121,259.65
pgktutu:)tutu:)hack,2022wagon2022:):)2022,2020,8,33,12,10,100057.0,3.0,0,10,18.0,103.0,5.0,2974,2974,11,11,73,73,3.888333333333333
2022tutu2022happy:)happy,2022tuturailwaydigital:)hack,2021,6,25,26,15,1612.0,4.0,1,8,12.0,102.0,986.0,2079,11635,18,18,105,102,73.95
2022newyearhackdigital:)tutu,2022newyearpgkhappy:)newyear,2020,8,31,2,11,1597.0,3.0,1,8,9.0,103.0,72.0,2957,2957,18,18,102,102,14.416666666666666
tutudigital:):):)wagon,tutuhappypgkpgk:)2022,2020,7,29,19,21,2261.0,4.0,0,10,18.0,103.0,1044.0,2974,2749,28,28,113,131,102.28333333333333
wagonpgkrailwaywagon:)railway,wagonpgkwagonnewyear:)railway,2021,9,36,10,19,2261.0,3.0,0,8,9.0,102.0,486.0,6817,2135,0,0,3,3,0.9166666666666666
2022wagontutudigital:)2022,2022wagon2022:):)2022,2021,3,13,30,5,100056.0,3.0,0,9,2.0,101.0,17.0,2974,8852,9,9,67,67,0.36666666666666664
happy:)pgkwagon:):),newyearwagonhappytutu:)2022,2022,4,14,10,10,2261.0,3.0,0,8,9.0,102.0,302.0,2974,6682,21,21,121,111,5.733333333333333
newyear2022hackhappy:)digital,pgkhackhacktutu:)happy,2020,10,43,25,23,743.0,1.0,1,8,12.0,101.0,3667.0,1310,3054,21,21,111,19,134.80583333333334
2022newyearpgkhappy:)newyear,newyearwagondigitalhack:)happy,2021,12,49,11,18,1661.0,4.0,1,8,9.0,102.0,2102.0,2957,9967,18,18,102,111,162.06666666666666
railwaytutupgkpgk:)digital,railwaynewyearhappypgk:)railway,2021,5,20,19,23,2261.0,1.0,0,8,975.0,102.0,209.0,2974,1319,9,9,67,67,12.416666666666666
railwaynewyearrailwayhack:)2022,railwaynewyearhappypgk:)railway,2020,11,46,12,5,100056.0,3.0,0,8,9.0,101.0,314.0,2974,8438,9,9,66,66,38.28333333333333
railwaytutupgkhappy:)newyear,digitalhappynewyeardigital:)wagon,2022,1,1,6,14,2261.0,1.0,0,8,975.0,102.0,276.0,2974,1316,9,9,67,67,6.2
happy:)pgkrailway:)2022,happyhackwagon2022:)2022,2020,8,35,27,19,2261.0,4.0,0,8,9.0,101.0,535.0,2974,13295,32,32,29,28,66.15
pgknewyeardigital:):)newyear,railwaydigitalnewyear:):)digital,2020,12,49,4,6,345.0,4.0,1,7,35.0,101.0,3525.0,11537,1098,32,32,123,60,291.8833333333333
newyearnewyearhappynewyear:)tutu,newyeartutu:)hack:)newyear,2021,7,28,16,0,2261.0,3.0,0,8,9.0,102.0,1215.0,2974,1316,6,6,59,67,64.68333333333334
2022newyear:)newyear:):),20222022:):):)railway,2021,9,38,23,8,2261.0,3.0,0,8,9.0,102.0,5.0,2974,1260,18,18,101,101,0.5566666666666666
railwaytutupgkhappy:)newyear,digitalhappynewyeardigital:)wagon,2020,9,39,22,11,2261.0,1.0,0,8,9.0,103.0,276.0,2974,1316,9,9,67,67,7.15
railwaytutupgkpgk:)digital,railwaytutupgkhack:):),2020,12,49,6,3,100056.0,3.0,0,8,975.0,103.0,4.0,2974,8797,9,9,67,67,0.21666666666666667
railwayhappydigitalwagon:)happy,railwayrailwayhappyhack:)wagon,2020,6,26,25,12,2340.0,3.0,1,2,19.0,101.0,1235.0,3123,17401,6,6,135,63,172.2
railwaytutupgkdigital:)hack,railwaytutupgkpgk:)digital,2021,11,47,25,23,1130.0,3.0,1,8,975.0,111.0,15.0,2082,2082,9,9,67,67,3.466666666666667
wagonhappytutudigital:):),wagonhappy:)pgk:)tutu,2020,6,23,4,3,792.0,3.0,1,10,18.0,103.0,363.0,2749,3196,11,11,73,72,35.11666666666667
railwaytutupgkhappy:)newyear,railwaytutupgkdigital:)hack,2021,11,45,8,17,2261.0,3.0,0,8,9.0,102.0,7.0,2974,2082,9,9,67,67,0.25
wagondigital:)digital:)newyear,wagonrailwayrailwaypgk:)wagon,2022,4,17,25,20,100056.0,3.0,0,8,12.0,102.0,187.0,2974,1319,9,9,68,67,56.28333333333333
